epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,211.543,1.2007,2.65904,1.07606,0,0,0,0,5.47447,8.15896,4.01322,0.000350625,0.000350625,0.000350625
44,216.419,1.32501,2.39973,1.08251,0,0,0,0,5.47447,8.15896,4.01322,0.00035289,0.00035289,0.00035289
45,218.857,1.08494,2.22692,0.96938,0,0,0,0,5.47447,8.15896,4.01322,0.000354872,0.000354872,0.000354872
46,221.4,1.18113,2.12762,1.11791,0,0,0,0,5.47447,8.15896,4.01322,0.000356571,0.000356571,0.000356571
47,224.047,1.12252,1.99496,1.02335,0,0,0,0,5.47447,8.15896,4.01322,0.000357987,0.000357987,0.000357987
48,226.509,1.20599,2.30891,1.08846,0,0,0,0,5.47447,8.15896,4.01322,0.000359121,0.000359121,0.000359121
49,229.135,1.20293,2.53439,1.04924,0,0,0,0,5.47447,8.15896,4.01322,0.000359971,0.000359971,0.000359971
50,231.888,1.16368,2.44786,1.05654,0,0,0,0,5.38975,9.72241,4.02268,0.000360538,0.000360538,0.000360538
51,234.438,1.02515,2.37829,1.02393,0,0,0,0,5.38975,9.72241,4.02268,0.000360822,0.000360822,0.000360822
52,237,1.23133,2.3627,1.09355,0,0,0,0,5.38975,9.72241,4.02268,0.000360824,0.000360824,0.000360824
53,239.507,1.38677,2.16072,1.17941,0,0,0,0,5.38975,9.72241,4.02268,0.000360542,0.000360542,0.000360542
54,242.15,1.13919,2.1921,1.03438,0,0,0,0,5.38975,9.72241,4.02268,0.000359978,0.000359978,0.000359978
55,244.399,1.30433,2.46908,1.19088,0,0,0,0,5.38975,9.72241,4.02268,0.000359131,0.000359131,0.000359131
56,246.796,1.1493,2.09427,1.08715,0,0,0,0,5.38975,9.72241,4.02268,0.000358,0.000358,0.000358
57,249.471,1.26346,2.33357,1.09012,0,0,0,0,5.38975,9.72241,4.02268,0.000356587,0.000356587,0.000356587
58,251.924,1.14094,2.42609,1.02167,0,0,0,0,5.38975,9.72241,4.02268,0.000354891,0.000354891,0.000354891
59,254.779,1.32055,2.26268,1.16313,0,0,0,0,5.38975,9.72241,4.02268,0.000352912,0.000352912,0.000352912
